parameter,model_component,value_or_distribution,population_group,period,source,estimation_method,evidence_quality,uncertainty,alternative_specifications,substantive_consequence
base_population_mid2022,base_population,To be constructed from Census 2021/2022,All UK nations,2022,ONS/NRS/NISRA Census,Interpolation from census date to mid-year,scenario_assumption,high,Alternative age distributions from MYE,Sets initial population denominator for all projections
ethnic_harmonisation_mapping,harmonisation,Version-controlled CSV mapping table,All ethnic categories,2001-2022,Census documentation,Expert mapping with comparability flags,statistically_estimated,moderate,Alternative broad-group aggregations,Affects cross-nation comparability
age_specific_fertility,fertility,ASFR by ethnic group and generation,Females 15-49,2022+,ONS births data,Bayesian hierarchical model (Phase 4),unavailable,high,"No convergence; rapid; moderate; slow convergence",Primary driver of natural change by ethnic group
fertility_convergence_kappa,fertility,exp(-kappa*d) by group,Foreign-born and UK-born,2022-2122,Literature and APS,Duration model (Phase 4),borrowed_from_literature,high,Generation-specific convergence,Determines speed of fertility equalisation
mortality_schedule,mortality,ONS national life tables,All groups,2022+,ONS Life Tables,Direct application,directly_observed,low,Group-specific differences where evidenced,Affects age structure and elderly composition
migration_immigration_volume,migration,Scenario-specified annual counts,International migrants,2022-2122,ONS LTIM / IPS,Scenario assumption,scenario_assumption,high,"Zero; low; ONS-aligned; high; cyclical",Primary driver of working-age composition
migration_emigration_volume,migration,Scenario-specified annual counts,International emigrants,2022-2122,ONS LTIM / IPS,Scenario assumption,scenario_assumption,high,Origin-specific and duration-specific rates,Affects net migration and return migration
migration_age_distribution,migration,Age-specific immigration/emigration rates,International migrants,2022-2122,Home Office / ONS,Empirical age profiles (Phase 4),calculated_from_official_data,moderate,Route-specific age profiles,Shapes age structure of migrant flows
migration_ethnic_composition,migration,Ethnic distribution of new immigrants,International migrants,2022-2122,LTIM / APS ethnicity,Empirical estimation (Phase 4),statistically_estimated,high,Route-specific composition; convergence to UK population,Directly affects ethnic composition trajectory
partnership_distribution,partnerships,P(e_p g_p | e_m g_m),Reproductive-age adults,2022+,Census household tables,Multinomial model (Phase 7),unavailable,high,Assortative vs random mating,Mixed-parent births pathway
child_ethnicity_assignment,identity,P(e_child | e_m e_p g_m g_p),Newborns,2022+,Census parental ethnicity tables,Multinomial model (Phase 7),unavailable,high,Fixed mother assignment; increasing mixed ID,Key mechanism for mixed-group growth
ethnic_identity_transition,identity,Q matrix for self-identification changes,All ages,2022-2122,Census 2001-2011-2021 transitions,Empirical estimation (Phase 7),statistically_estimated,high,Fixed identity; increasing mixed ID,Affects classification without migration
internal_migration_uk,internal_migration,Signed flows between UK nations,All groups,2022-2122,ONS/NRS internal migration,Empirical rates (Phase 6),calculated_from_official_data,moderate,Zero internal migration,Redistributes population across nations
generation_classification,generation,Five-category nativity scheme,All ages,2022+,Census country of birth / parental COB,Direct from census where available; linkage Phase 2,statistically_estimated,moderate,Alternative generation definitions,Affects fertility convergence and identity transmission
scotland_census_base,base_population,Census 2022 Scotland,Scotland,2022,NRS Census 2022,Direct (Phase 6),directly_observed,low,Harmonisation to mid-2022,Scotland-specific base population
northern_ireland_census_base,base_population,Census 2021 NI,NI,2021,NISRA DT-0035,Direct (Phase 6),directly_observed,low,Harmonisation to mid-2022,NI-specific base population
